category_code,status,founded_at,closed_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,Active_Days
other,operating,2009,2021.0,USA,1.0,3652913.0,1.0,5.0,39.768403,-86.158068,1,4380.0
other,operating,2002,2021.0,CAN,1.0,3652913.0,1.0,4.0,51.0486151,-114.0708459,1,6935.0
software,operating,2000,2021.0,USA,1.0,3652913.0,1.0,2.0,37.6780742,-97.2392359,1,7665.0
games_video,closed,2007,2013.0,USA,1.0,3652913.0,2.0,2.0,41.7003713,-73.9209701,0,2190.0
network_hosting,operating,2010,2021.0,BRA,1.0,3652913.0,1.0,4.0,-15.7942287,-47.8821658,1,4015.0
health,operating,2002,2021.0,USA,1.0,3652913.0,1.0,3.0,42.9633599,-85.6680863,1,6935.0
ecommerce,operating,2007,2021.0,USA,1.0,3652913.0,1.0,3.0,39.8868485,-105.762548,1,5110.0
web,operating,2008,2021.0,USA,1.0,3652913.0,3.0,1.0,41.6005448,-93.6091064,1,4745.0
web,operating,2009,2021.0,USA,1.0,3652913.0,1.0,1.0,41.408969,-75.6624122,1,4380.0
software,operating,2005,2021.0,POL,1.0,3652913.0,1.0,1.0,54.3520252,18.6466384,1,5840.0
web,operating,2011,2021.0,USA,1.0,3652913.0,1.0,2.0,47.6062095,-122.3320708,1,3650.0
web,operating,2004,2021.0,NLD,1.0,3652913.0,1.0,3.0,49.4809302,8.4863599,1,6205.0
consulting,operating,2008,2021.0,USA,1.0,3652913.0,1.0,1.0,37.6304904,-122.4110835,1,4745.0
web,operating,2002,2021.0,USA,1.0,3652913.0,1.0,2.0,30.267153,-97.7430608,1,6935.0
web,operating,2007,2021.0,USA,1.0,150000.0,1.0,2.0,34.0522342,-118.2436849,1,5110.0
web,operating,2007,2021.0,JPN,1.0,3652913.0,1.0,2.0,35.6894875,139.6917064,1,5110.0
semiconductor,operating,1999,2021.0,USA,1.0,3652913.0,1.0,1.0,32.715738,-117.1610838,1,8030.0
web,operating,2011,2021.0,USA,1.0,75000.0,1.0,2.0,41.8781136,-87.6297982,1,3650.0
web,operating,2000,2021.0,FRA,1.0,3652913.0,1.0,1.0,48.863812,2.448451,1,7665.0
social,closed,2009,2012.0,USA,1.0,3000000.0,1.0,2.0,40.7127753,-74.0059728,0,1095.0
games_video,operating,2007,2021.0,CHN,1.0,3652913.0,1.0,2.0,31.2303904,121.4737021,1,5110.0
enterprise,operating,2000,2021.0,USA,1.0,16000000.0,1.0,2.0,37.6624312,-121.8746789,1,7665.0
other,operating,2003,2021.0,GRC,1.0,3652913.0,1.0,1.0,35.164633,33.38315,1,6570.0
software,operating,2002,2021.0,IND,1.0,3652913.0,1.0,2.0,12.9715987,77.5945627,1,6935.0
ecommerce,operating,2002,2021.0,POL,1.0,3652913.0,3.0,3.0,51.1078852,17.0385376,1,6935.0
software,operating,1999,2021.0,USA,1.0,3652913.0,1.0,4.0,33.1580933,-117.3505939,1,8030.0
web,operating,2011,2021.0,SGP,1.0,3652913.0,1.0,2.0,1.352083,103.819836,1,3650.0
hardware,operating,1984,2021.0,GBR,1.0,3652913.0,1.0,7.0,51.7520209,-1.2577263,1,13505.0
search,operating,2010,2021.0,GBR,1.0,3652913.0,1.0,1.0,44.7443293,-92.8513706,1,4015.0
software,operating,2001,2021.0,GBR,1.0,3652913.0,1.0,1.0,51.5073509,-0.1277583,1,7300.0
search,operating,2001,2021.0,JPN,1.0,3652913.0,2.0,3.0,36.0458512,-95.8522669,1,7300.0
cleantech,operating,2011,2021.0,IND,1.0,3652913.0,1.0,1.0,12.9141417,74.8559568,1,3650.0
network_hosting,operating,2007,2021.0,USA,1.0,3652913.0,1.0,2.0,34.0522342,-118.2436849,1,5110.0
legal,operating,2005,2021.0,DEU,1.0,3652913.0,1.0,1.0,51.280284,7.0349609,1,5840.0
other,operating,2008,2021.0,USA,1.0,3652913.0,1.0,6.0,38.8816208,-77.0909809,1,4745.0
web,operating,2011,2021.0,FRA,1.0,3652913.0,1.0,2.0,48.856614,2.3522219,1,3650.0
public_relations,operating,2008,2021.0,USA,1.0,3652913.0,1.0,1.0,29.4241219,-98.4936282,1,4745.0
ecommerce,operating,2008,2021.0,USA,1.0,3652913.0,1.0,2.0,37.7749295,-122.4194155,1,4745.0
web,operating,1999,2021.0,USA,1.0,3652913.0,1.0,2.0,37.4377489,-100.9877657,1,8030.0
software,operating,2002,2021.0,USA,1.0,3652913.0,1.0,1.0,38.2526647,-85.7584557,1,6935.0
ecommerce,operating,2011,2021.0,CAN,2.0,26752221.0,1.0,8.0,43.653226,-79.3831843,1,3650.0
transportation,operating,2008,2021.0,USA,1.0,50000.0,1.0,1.0,40.7127753,-74.0059728,1,4745.0
hardware,operating,2007,2021.0,USA,1.0,3652913.0,3.0,1.0,39.7392358,-104.990251,1,5110.0
other,operating,2011,2021.0,CSS,1.0,3652913.0,1.0,6.0,44.786568,20.4489216,1,3650.0
search,operating,2008,2021.0,MKD,1.0,3652913.0,1.0,7.0,41.9973462,21.4279956,1,4745.0
web,operating,2000,2021.0,PRT,1.0,3652913.0,1.0,3.0,41.5454486,-8.426507,1,7665.0
software,operating,2004,2021.0,PRT,1.0,3652913.0,1.0,2.0,41.5454486,-8.426507,1,6205.0
hospitality,closed,2009,2012.0,USA,1.0,3652913.0,1.0,3.0,42.3600825,-71.0588801,0,1095.0
web,operating,2007,2021.0,PRT,1.0,3652913.0,1.0,1.0,38.7222524,-9.1393366,1,5110.0
other,operating,2008,2021.0,USA,1.0,3652913.0,1.0,1.0,39.7392358,-104.990251,1,4745.0
software,operating,2007,2021.0,USA,1.0,3652913.0,1.0,1.0,39.7392358,-104.990251,1,5110.0
ecommerce,closed,2011,2013.0,CHE,1.0,138000.0,2.0,7.0,47.1,8.81667,0,730.0
enterprise,operating,2008,2021.0,CAN,1.0,3652913.0,1.0,3.0,43.653226,-79.3831843,1,4745.0
hospitality,operating,2008,2021.0,USA,2.0,1300000.0,1.0,3.0,47.6062095,-122.3320708,1,4745.0
search,operating,2011,2021.0,BRA,1.0,3652913.0,1.0,3.0,-19.9245018,-43.9352376,1,3650.0
software,operating,1995,2021.0,USA,1.0,3652913.0,2.0,6.0,41.8781136,-87.6297982,1,9490.0
web,operating,2011,2021.0,USA,1.0,3652913.0,1.0,2.0,20.8569444,-156.3130556,1,3650.0
consulting,operating,2008,2021.0,USA,1.0,3652913.0,1.0,2.0,38.8367674,-80.3425838,1,4745.0
games_video,operating,2008,2021.0,ISR,1.0,3000000.0,3.0,4.0,32.068424,34.824785,1,4745.0
web,operating,2011,2021.0,USA,1.0,3652913.0,1.0,1.0,33.6412156,-117.9188221,1,3650.0
web,operating,2007,2021.0,USA,1.0,3652913.0,1.0,1.0,37.9479786,-122.0607963,1,5110.0
network_hosting,operating,2007,2021.0,USA,1.0,3652913.0,1.0,2.0,38.3929675,-120.8024357,1,5110.0
public_relations,operating,2011,2021.0,GBR,1.0,3652913.0,1.0,3.0,50.0755381,14.4378005,1,3650.0
web,operating,2011,2021.0,USA,1.0,3652913.0,2.0,4.0,39.2903848,-76.6121893,1,3650.0
mobile,closed,2011,2013.0,USA,2.0,21189.0,1.0,2.0,37.4418834,-122.1430195,0,730.0
advertising,operating,2011,2021.0,RUS,1.0,3652913.0,1.0,1.0,55.755826,37.6172999,1,3650.0
software,operating,2005,2021.0,GBR,1.0,3652913.0,1.0,8.0,53.8007554,-1.5490774,1,5840.0
network_hosting,operating,2007,2021.0,USA,1.0,3652913.0,1.0,4.0,21.3069444,-157.8583333,1,5110.0
consulting,operating,2004,2021.0,USA,1.0,3652913.0,1.0,2.0,44.9597376,-93.3702186,1,6205.0
search,operating,2008,2021.0,IND,1.0,3652913.0,1.0,2.0,28.6139391,77.2090212,1,4745.0
transportation,operating,2011,2021.0,USA,2.0,1835000.0,1.0,8.0,40.7127753,-74.0059728,1,3650.0
software,operating,1998,2021.0,USA,1.0,1000000.0,1.0,1.0,37.7749295,-122.4194155,1,8395.0
mobile,operating,2011,2021.0,USA,1.0,895000.0,1.0,3.0,37.7749295,-122.4194155,1,3650.0
web,operating,2011,2021.0,USA,1.0,3652913.0,1.0,1.0,42.1969689,-88.0934108,1,3650.0
games_video,operating,2011,2021.0,AUS,1.0,3652913.0,1.0,2.0,-34.9284989,138.6007456,1,3650.0
web,operating,2003,2021.0,GBR,1.0,3652913.0,1.0,2.0,42.4663727,-72.5795115,1,6570.0
other,operating,2008,2021.0,GBR,1.0,3652913.0,1.0,1.0,54.597285,-5.93012,1,4745.0
ecommerce,operating,2007,2021.0,USA,1.0,3652913.0,1.0,5.0,35.9606384,-83.9207392,1,5110.0
web,operating,2005,2021.0,USA,1.0,3652913.0,1.0,1.0,41.8781136,-87.6297982,1,5840.0
web,operating,2011,2021.0,USA,1.0,3652913.0,1.0,2.0,44.8923859,-123.0363585,1,3650.0
web,operating,2007,2021.0,GBR,1.0,3652913.0,1.0,2.0,51.7520209,-1.2577263,1,5110.0
games_video,operating,2011,2021.0,ISR,1.0,3652913.0,1.0,2.0,32.162413,34.844675,1,3650.0
software,operating,2011,2021.0,USA,1.0,3652913.0,2.0,3.0,30.267153,-97.7430608,1,3650.0
games_video,operating,2007,2021.0,UKR,1.0,3652913.0,1.0,1.0,49.839683,24.029717,1,5110.0
web,operating,2003,2021.0,GBR,1.0,3652913.0,1.0,5.0,54.597285,-5.93012,1,6570.0
biotech,operating,2007,2021.0,GBR,3.0,3242399.0,1.0,2.0,52.205337,0.121817,1,5110.0
web,operating,2008,2021.0,USA,1.0,3652913.0,1.0,1.0,35.2270869,-80.8431267,1,4745.0
web,operating,2005,2021.0,ISR,1.0,3652913.0,1.0,1.0,32.0852999,34.7817676,1,5840.0
mobile,operating,2011,2021.0,USA,1.0,3652913.0,1.0,1.0,34.187044,-118.3812562,1,3650.0
web,operating,2001,2021.0,AUS,1.0,3652913.0,1.0,5.0,-38.158,145.135,1,7300.0
other,operating,1948,2021.0,USA,1.0,3652913.0,1.0,2.0,34.1808392,-118.3089661,1,26645.0
software,operating,2004,2021.0,USA,1.0,1616176.0,1.0,2.0,45.4383842,10.9916215,1,6205.0
games_video,operating,2001,2021.0,JPN,1.0,3652913.0,2.0,1.0,35.6894875,139.6917064,1,7300.0
web,operating,2011,2021.0,USA,1.0,3652913.0,1.0,1.0,52.205337,0.121817,1,3650.0
other,closed,2007,2012.0,USA,1.0,50000.0,1.0,2.0,40.7127753,-74.0059728,0,1825.0
other,operating,2007,2021.0,ITA,1.0,3652913.0,1.0,2.0,42.3628843,-71.093751,1,5110.0
analytics,operating,2010,2021.0,USA,3.0,2475000.0,1.0,2.0,44.519159,-88.019826,1,4015.0
network_hosting,operating,2005,2021.0,TUR,1.0,3652913.0,1.0,1.0,39.9333635,32.8597419,1,5840.0
other,operating,2011,2021.0,USA,1.0,3652913.0,1.0,3.0,40.7127753,-74.0059728,1,3650.0
ecommerce,operating,2008,2021.0,ESP,1.0,3652913.0,1.0,1.0,40.4167754,-3.7037902,1,4745.0
consulting,operating,1996,2021.0,CAN,1.0,3652913.0,1.0,2.0,49.2827291,-123.1207375,1,9125.0
search,operating,2010,2021.0,IND,1.0,3652913.0,1.0,1.0,12.9715987,77.5945627,1,4015.0
web,operating,2004,2021.0,NZL,1.0,3652913.0,1.0,1.0,-36.8484597,174.7633315,1,6205.0
other,operating,2006,2021.0,USA,1.0,3652913.0,1.0,1.0,42.3764852,-71.2356113,1,5475.0
medical,operating,2008,2021.0,GBR,1.0,952578.0,1.0,1.0,51.5073509,-0.1277583,1,4745.0
search,operating,2011,2021.0,TUR,1.0,3652913.0,1.0,1.0,39.9333635,32.8597419,1,3650.0
web,operating,2011,2021.0,CZE,1.0,3652913.0,1.0,1.0,50.0755381,14.4378005,1,3650.0
software,operating,2006,2021.0,DNK,1.0,3652913.0,1.0,3.0,55.763516,12.4949429,1,5475.0
games_video,operating,2006,2021.0,SWE,1.0,7385500.0,1.0,4.0,59.3293235,18.0685808,1,5475.0
other,operating,2011,2021.0,GBR,1.0,3652913.0,1.0,2.0,51.8031689,-0.208661,1,3650.0
mobile,operating,2011,2021.0,NLD,1.0,3652913.0,1.0,1.0,52.3702157,4.8951679,1,3650.0
web,operating,2000,2021.0,IRL,1.0,3652913.0,3.0,5.0,53.3498053,-6.2603097,1,7665.0
web,operating,2007,2021.0,DEU,1.0,3652913.0,3.0,4.0,48.1351253,11.5819805,1,5110.0
software,operating,2010,2021.0,IND,1.0,3652913.0,1.0,1.0,15.8496953,74.4976741,1,4015.0
security,operating,1999,2021.0,USA,1.0,3652913.0,1.0,1.0,34.7464809,-92.2895948,1,8030.0
web,operating,2010,2021.0,USA,1.0,3652913.0,2.0,5.0,41.8781136,-87.6297982,1,4015.0
mobile,operating,1999,2021.0,NLD,1.0,3652913.0,2.0,6.0,51.6410202,4.8616901,1,8030.0
software,operating,2011,2021.0,USA,1.0,3652913.0,1.0,2.0,33.8160058,-78.680016,1,3650.0
mobile,operating,2008,2021.0,DEU,1.0,109018.0,1.0,2.0,48.1351253,11.5819805,1,4745.0
ecommerce,operating,2011,2021.0,USA,1.0,3652913.0,1.0,1.0,37.7749295,-122.4194155,1,3650.0
medical,operating,2009,2021.0,USA,1.0,3652913.0,2.0,3.0,42.3600825,-71.0588801,1,4380.0
web,operating,2011,2021.0,TUR,1.0,3652913.0,1.0,1.0,41.0082376,28.9783589,1,3650.0
security,operating,2012,2021.0,USA,1.0,1700000.0,2.0,7.0,40.7127753,-74.0059728,1,3285.0
other,operating,2010,2021.0,USA,1.0,3652913.0,1.0,2.0,45.4408474,12.3155151,1,4015.0
games_video,operating,2006,2021.0,ISR,1.0,3652913.0,1.0,4.0,32.184781,34.871326,1,5475.0
consulting,operating,2007,2021.0,ARG,1.0,3652913.0,1.0,3.0,-32.9442426,-60.6505388,1,5110.0
ecommerce,operating,2011,2021.0,TUR,1.0,900000.0,1.0,3.0,41.0082376,28.9783589,1,3650.0
mobile,operating,2011,2021.0,USA,1.0,3652913.0,1.0,3.0,30.267153,-97.7430608,1,3650.0
advertising,operating,2008,2021.0,USA,1.0,50000.0,2.0,2.0,32.7766642,-96.7969879,1,4745.0
ecommerce,operating,2008,2021.0,USA,1.0,3652913.0,1.0,6.0,39.9525839,-75.1652215,1,4745.0
games_video,operating,2010,2021.0,USA,1.0,3652913.0,1.0,1.0,33.4941704,-111.9260519,1,4015.0
advertising,operating,2003,2021.0,GBR,1.0,3652913.0,2.0,1.0,51.5073509,-0.1277583,1,6570.0
consulting,operating,2000,2021.0,USA,1.0,3652913.0,1.0,4.0,25.7616798,-80.1917902,1,7665.0
ecommerce,operating,2009,2021.0,USA,1.0,3652913.0,1.0,2.0,39.1156615,-77.5636015,1,4380.0
web,operating,2007,2021.0,USA,1.0,3652913.0,2.0,4.0,52.205337,0.121817,1,5110.0
ecommerce,operating,2007,2021.0,USA,1.0,3652913.0,1.0,1.0,33.5684605,-117.7262981,1,5110.0
ecommerce,operating,2009,2021.0,USA,1.0,8700000.0,2.0,5.0,37.5585465,-122.2710788,1,4380.0
health,operating,2008,2021.0,USA,3.0,11510000.0,4.0,6.0,42.3600825,-71.0588801,1,4745.0
ecommerce,operating,2008,2021.0,USA,1.0,3652913.0,1.0,2.0,35.6512655,-78.8336218,1,4745.0
consulting,operating,2006,2021.0,ITA,1.0,3652913.0,1.0,3.0,45.4642035,9.189982,1,5475.0
mobile,operating,2011,2021.0,USA,1.0,3652913.0,1.0,2.0,34.0522342,-118.2436849,1,3650.0
web,operating,2007,2021.0,POL,1.0,3652913.0,1.0,1.0,51.1078852,17.0385376,1,5110.0
enterprise,operating,2004,2021.0,USA,1.0,3652913.0,1.0,2.0,40.7127753,-74.0059728,1,6205.0
